system_time,midpoint,spread,rel_spread,imbalance,weighted_bid_distance
2021-04-07 11:33:59.055697+00:00,1.16205,0.0001,8.60548e-05,0.0301764,-0.00118341
2021-04-07 11:34:59.055697+00:00,1.168,0.0022,0.00188356,0.0860067,-0.00163704
2021-04-07 11:35:59.055697+00:00,1.1753,0.0012,0.00102102,-0.350664,-0.00149188
2021-04-07 11:36:59.055697+00:00,1.16585,0.0017,0.00145816,-0.205278,-0.00186703
2021-04-07 11:37:59.055697+00:00,1.17255,0.0009,0.000767558,-0.125134,-0.00196122
2021-04-07 11:38:59.055697+00:00,1.1776,0.0006,0.000509511,0.0589346,-0.00149198
2021-04-07 11:39:59.055697+00:00,1.1815,0.001,0.000846382,0.0870434,-0.00173261
2021-04-07 11:40:59.055697+00:00,1.1833,0.002,0.00169019,0.267168,-0.00183429
2021-04-07 11:41:59.055697+00:00,1.18625,0.0011,0.000927292,0.0409577,-0.00171019
2021-04-07 11:42:59.055697+00:00,1.1839,0.0014,0.00118253,-0.121079,-0.00156667
2021-04-07 11:43:59.055697+00:00,1.18385,0.0011,0.000929172,-0.0376052,-0.00158699
2021-04-07 11:44:59.055697+00:00,1.1761,0.0014,0.00119037,-0.188237,-0.0015521
2021-04-07 11:45:59.055697+00:00,1.1714,0.0024,0.00204883,-0.340946,-0.00196546
2021-04-07 11:46:59.055697+00:00,1.1827,0.0012,0.00101463,-0.297271,-0.0012652
2021-04-07 11:47:59.055697+00:00,1.1783,0.0014,0.00118815,0.117743,-0.00183862
2021-04-07 11:48:59.055697+00:00,1.1732,0.0004,0.000340948,-0.532069,-0.000798316
2021-04-07 11:49:59.055697+00:00,1.18045,0.0007,0.000592994,-0.232554,-0.00104556
2021-04-07 11:50:59.055697+00:00,1.1794,0.0008,0.000678311,-0.064701,-0.00166126
2021-04-07 11:51:59.055697+00:00,1.18035,0.0007,0.000593044,0.0572278,-0.00170205
2021-04-07 11:52:59.055697+00:00,1.1815,0.001,0.000846382,-0.225024,-0.00189059
2021-04-07 11:53:59.055697+00:00,1.1836,0.001,0.00084488,0.0509687,-0.00178133
2021-04-07 11:54:59.055697+00:00,1.1866,0.001,0.000842744,-0.330588,-0.00185561
2021-04-07 11:55:59.055697+00:00,1.18485,0.0011,0.000928388,-0.135586,-0.00158508
2021-04-07 11:56:59.055697+00:00,1.1864,0.001,0.000842886,-0.466439,-0.0010213
2021-04-07 11:57:59.055697+00:00,1.1933,0.0012,0.00100561,-0.494313,-0.00102917
2021-04-07 11:58:59.055697+00:00,1.19235,0.0011,0.000922548,-0.182548,-0.00122986
2021-04-07 11:59:59.055697+00:00,1.19195,0.0009,0.000755065,-0.350304,-0.00142087
2021-04-07 12:00:59.055697+00:00,1.18855,0.0013,0.00109377,0.0873933,-0.00183513
2021-04-07 12:01:59.055697+00:00,1.1846,0.0014,0.00118183,-0.36607,-0.00168702
2021-04-07 12:02:59.055697+00:00,1.18365,0.0011,0.000929329,-0.0508869,-0.00155186
2021-04-07 12:03:59.055697+00:00,1.1843,0.0014,0.00118213,-0.419194,-0.00122887
2021-04-07 12:04:59.055697+00:00,1.1848,0.0004,0.00033761,-0.247934,-0.00182985
2021-04-07 12:05:59.055697+00:00,1.1778,0.001,0.000849041,-0.0997864,-0.0016671
2021-04-07 12:06:59.055697+00:00,1.17565,0.0009,0.000765534,-0.116201,-0.00124971
2021-04-07 12:07:59.055697+00:00,1.17695,0.0011,0.000934619,-0.0212864,-0.00142803
2021-04-07 12:08:59.055697+00:00,1.1792,0.0008,0.000678426,-0.110013,-0.00149544
2021-04-07 12:09:59.055697+00:00,1.1827,0.001,0.000845523,-0.0486001,-0.0016125
2021-04-07 12:10:59.055697+00:00,1.1746,0.0006,0.000510812,0.115088,-0.00124871
2021-04-07 12:11:59.055697+00:00,1.17215,0.0013,0.00110907,0.125532,-0.00154951
2021-04-07 12:12:59.055697+00:00,1.16835,0.0013,0.00111268,-0.1092,-0.00177569
2021-04-07 12:13:59.055697+00:00,1.16915,0.0007,0.000598726,-0.449437,-0.0011612
2021-04-07 12:14:59.055697+00:00,1.16835,0.0009,0.000770317,-0.229857,-0.00203638
2021-04-07 12:15:59.055697+00:00,1.1686,0.0002,0.000171145,-0.280781,-0.00115459
2021-04-07 12:16:59.055697+00:00,1.16665,0.0017,0.00145716,-0.227097,-0.00263348
2021-04-07 12:17:59.055697+00:00,1.17715,0.0007,0.000594657,-0.100678,-0.00130633
2021-04-07 12:18:59.055697+00:00,1.1764,0.0014,0.00119007,0.146094,-0.00154162
2021-04-07 12:19:59.055697+00:00,1.18255,0.0015,0.00126845,-0.143518,-0.00164339
2021-04-07 12:20:59.055697+00:00,1.17785,0.0015,0.00127351,-0.221737,-0.00133573
2021-04-07 12:21:59.055697+00:00,1.1779,0.0012,0.00101876,-0.276484,-0.00142831
2021-04-07 12:22:59.055697+00:00,1.1745,0.0006,0.000510856,-0.0724326,-0.00143872
2021-04-07 12:23:59.055697+00:00,1.1723,0.0008,0.000682419,-0.44793,-0.00109702
2021-04-07 12:24:59.055697+00:00,1.1761,0.0008,0.000680214,0.00422359,-0.00179503
2021-04-07 12:25:59.055697+00:00,1.1816,0.001,0.00084631,0.152495,-0.00160682
2021-04-07 12:26:59.055697+00:00,1.18005,0.0011,0.000932164,0.0799008,-0.00172805
2021-04-07 12:27:59.055697+00:00,1.1804,0.0008,0.000677736,-0.185932,-0.00104579
2021-04-07 12:28:59.055697+00:00,1.18045,0.0013,0.00110127,-0.32982,-0.0014444
2021-04-07 12:29:59.055697+00:00,1.1791,0.0008,0.000678484,0.0225987,-0.00164557
2021-04-07 12:30:59.055697+00:00,1.18195,0.0005,0.00042303,0.123387,-0.00124714
2021-04-07 12:31:59.055697+00:00,1.1831,0.0006,0.000507142,0.0538651,-0.00130395
2021-04-07 12:32:59.055697+00:00,1.18285,0.0007,0.000591791,-0.0113233,-0.000993099
2021-04-07 12:33:59.055697+00:00,1.18335,0.0005,0.000422529,-0.0360602,-0.000735591
2021-04-07 12:34:59.055697+00:00,1.1866,0.0006,0.000505646,0.00685022,-0.00126307
2021-04-07 12:35:59.055697+00:00,1.18575,0.0017,0.00143369,0.411456,-0.00135749
2021-04-07 12:36:59.055697+00:00,1.1857,0.0004,0.000337353,-0.233331,-0.000725966
2021-04-07 12:37:59.055697+00:00,1.1853,0.0014,0.00118114,0.137429,-0.00170977
2021-04-07 12:38:59.055697+00:00,1.18745,0.0005,0.00042107,0.0276448,-0.00123233
